Rank,Title,Director,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
1,Guardians of the Galaxy,James Gunn,2014,121,8.1,757074,333.13,76
2,Prometheus,Ridley Scott,2012,124,7,485820,126.46,65
3,Split,M. Night Shyamalan,2016,117,7.3,157606,138.12,62
4,Sing,Christophe Lourdelet,2016,108,7.2,60545,270.32,59
5,Suicide Squad,David Ayer,2016,123,6.2,393727,325.02,40
6,The Great Wall,Yimou Zhang,2016,103,6.1,56036,45.13,42
7,La La Land,Damien Chazelle,2016,128,8.3,258682,151.06,93
8,Mindhorn,Sean Foley,2016,89,6.4,2490,,71
9,The Lost City of Z,James Gray,2016,141,7.1,7188,8.01,78
10,Passengers,Morten Tyldum,2016,116,7,192177,100.01,41
11,Fantastic Beasts and Where to Find Them,David Yates,2016,133,7.5,232072,234.02,66
12,Hidden Figures,Theodore Melfi,2016,127,7.8,93103,169.27,74
13,Rogue One,Gareth Edwards,2016,133,7.9,323118,532.17,65
14,Moana,Ron Clements,2016,107,7.7,118151,248.75,81
15,Colossal,Nacho Vigalondo,2016,109,6.4,8612,2.87,70
16,The Secret Life of Pets,Chris Renaud,2016,87,6.6,120259,368.31,61
17,Hacksaw Ridge,Mel Gibson,2016,139,8.2,211760,67.12,71
18,Jason Bourne,Paul Greengrass,2016,123,6.7,150823,162.16,58
19,Lion,Garth Davis,2016,118,8.1,102061,51.69,69
20,Arrival,Denis Villeneuve,2016,116,8,340798,100.5,81
21,Gold,Stephen Gaghan,2016,120,6.7,19053,7.22,49
22,Manchester by the Sea,Kenneth Lonergan,2016,137,7.9,134213,47.7,96
23,Hounds of Love,Ben Young,2016,108,6.7,1115,,72
24,Trolls,Walt Dohrn,2016,92,6.5,38552,153.69,56
25,Independence Day: Resurgence,Roland Emmerich,2016,120,5.3,127553,103.14,32
26,Paris pieds nus,Dominique Abel,2016,83,6.8,222,,
27,Bahubali: The Beginning,S.S. Rajamouli,2015,159,8.3,76193,6.5,
28,Dead Awake,Phillip Guzman,2016,99,4.7,523,0.01,
29,Bad Moms,Jon Lucas,2016,100,6.2,66540,113.08,60
30,Assassin's Creed,Justin Kurzel,2016,115,5.9,112813,54.65,36
31,Why Him?,John Hamburg,2016,111,6.3,48123,60.31,39
32,Nocturnal Animals,Tom Ford,2016,116,7.5,126030,10.64,67
33,X-Men: Apocalypse,Bryan Singer,2016,144,7.1,275510,155.33,52
34,Deadpool,Tim Miller,2016,108,8,627797,363.02,65
35,Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,107,5.6,46165,26.84,49
36,Captain America: Civil War,Anthony Russo,2016,147,7.9,411656,408.08,75
37,Interstellar,Christopher Nolan,2014,169,8.6,1047747,187.99,74
38,Doctor Strange,Scott Derrickson,2016,115,7.6,293732,232.6,72
39,The Magnificent Seven,Antoine Fuqua,2016,132,6.9,122853,93.38,54
40,5/25/77,Patrick Read Johnson,2007,113,7.1,241,,
41,Sausage Party,Greg Tiernan,2016,89,6.3,120690,97.66,66
42,Moonlight,Barry Jenkins,2016,111,7.5,135095,27.85,99
43,Don't Fuck in the Woods,Shawn Burkett,2016,73,2.7,496,,
44,The Founder,John Lee Hancock,2016,115,7.2,37033,12.79,66
45,Lowriders,Ricardo de Montreuil,2016,99,6.3,279,4.21,57
46,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011,136,6.7,395025,241.06,45
47,Miss Sloane,John Madden,2016,132,7.3,17818,3.44,64
48,Fallen,Scott Hicks,2016,91,5.6,5103,,
49,Star Trek Beyond,Justin Lin,2016,122,7.1,164567,158.8,68
50,The Last Face,Sean Penn,2016,130,3.7,987,,16
51,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,2015,136,8.1,661608,936.63,81
52,Underworld: Blood Wars,Anna Foerster,2016,91,5.8,41362,30.35,23
53,Mother's Day,Garry Marshall,2016,118,5.6,20221,32.46,18
54,John Wick,Chad Stahelski,2014,101,7.2,321933,43,68
55,The Dark Knight,Christopher Nolan,2008,152,9,1791916,533.32,82
56,Silence,Martin Scorsese,2016,161,7.3,49190,7.08,79
57,Don't Breathe,Fede Alvarez,2016,88,7.2,121103,89.21,71
58,Me Before You,Thea Sharrock,2016,106,7.4,113322,56.23,51
59,Their Finest,Lone Scherfig,2016,117,7,3739,3.18,76
60,Sully,Clint Eastwood,2016,96,7.5,137608,125.07,74
61,Batman v Superman: Dawn of Justice,Zack Snyder,2016,151,6.7,472307,330.25,44
62,The Autopsy of Jane Doe,André Øvredal,2016,86,6.8,35870,,65
63,The Girl on the Train,Tate Taylor,2016,112,6.5,102177,75.31,48
64,Fifty Shades of Grey,Sam Taylor-Johnson,2015,125,4.1,244474,166.15,46
65,The Prestige,Christopher Nolan,2006,130,8.5,913152,53.08,66
66,Kingsman: The Secret Service,Matthew Vaughn,2014,129,7.7,440209,128.25,58
67,Patriots Day,Peter Berg,2016,133,7.4,39784,31.86,69
68,Mad Max: Fury Road,George Miller,2015,120,8.1,632842,153.63,90
69,Wakefield,Robin Swicord,2016,106,7.5,291,0.01,61
70,Deepwater Horizon,Peter Berg,2016,107,7.2,89849,61.28,68
71,The Promise,Terry George,2016,133,5.9,149791,,49
72,Allied,Robert Zemeckis,2016,124,7.1,78079,40.07,60
73,A Monster Calls,J.A. Bayona,2016,108,7.5,39134,3.73,76
74,Collateral Beauty,David Frankel,2016,97,6.8,43977,30.98,23
75,Zootopia,Byron Howard,2016,108,8.1,296853,341.26,78
76,Pirates of the Caribbean: At World's End,Gore Verbinski,2007,169,7.1,498821,309.4,50
77,The Avengers,Joss Whedon,2012,143,8.1,1045588,623.28,69
78,Inglourious Basterds,Quentin Tarantino,2009,153,8.3,959065,120.52,69
79,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,2006,151,7.3,552027,423.03,53
80,Ghostbusters,Paul Feig,2016,116,5.3,147717,128.34,60
81,Inception,Christopher Nolan,2010,148,8.8,1583625,292.57,74
82,Captain Fantastic,Matt Ross,2016,118,7.9,105081,5.88,72
83,The Wolf of Wall Street,Martin Scorsese,2013,180,8.2,865134,116.87,75
84,Gone Girl,David Fincher,2014,149,8.1,636243,167.74,79
85,Furious Seven,James Wan,2015,137,7.2,301249,350.03,67
86,Jurassic World,Colin Trevorrow,2015,124,7,455169,652.18,59
87,Live by Night,Ben Affleck,2016,129,6.4,27869,10.38,49
88,Avatar,James Cameron,2009,162,7.8,935408,760.51,83
89,The Hateful Eight,Quentin Tarantino,2015,187,7.8,341170,54.12,68
90,The Accountant,Gavin O'Connor,2016,128,7.4,162122,86.2,51
91,Prisoners,Denis Villeneuve,2013,153,8.1,431185,60.96,74
92,Warcraft,Duncan Jones,2016,123,7,187547,47.17,32
93,The Help,Tate Taylor,2011,146,8.1,342429,169.71,62
94,War Dogs,Todd Phillips,2016,114,7.1,106463,43.02,57
95,Avengers: Age of Ultron,Joss Whedon,2015,141,7.4,516895,458.99,66
96,The Nice Guys,Shane Black,2016,116,7.4,175067,36.25,70
97,Kimi no na wa,Makoto Shinkai,2016,106,8.6,34110,4.68,79
98,The Void,Jeremy Gillespie,2016,90,5.8,9247,0.15,62
99,Personal Shopper,Olivier Assayas,2016,105,6.3,10181,1.29,77
100,The Departed,Martin Scorsese,2006,151,8.5,937414,132.37,85
101,Legend,Brian Helgeland,2015,132,7,108836,1.87,55
102,Thor,Kenneth Branagh,2011,115,7,570814,181.02,57
103,The Martian,Ridley Scott,2015,144,8,556097,228.43,80
104,Contratiempo,Oriol Paulo,2016,106,7.9,7204,,
105,The Man from U.N.C.L.E.,Guy Ritchie,2015,116,7.3,202973,45.43,56
106,Hell or High Water,David Mackenzie,2016,102,7.7,115546,26.86,88
107,The Comedian,Taylor Hackford,2016,120,5.4,1954,1.66,40
108,The Legend of Tarzan,David Yates,2016,110,6.3,117590,126.59,44
109,All We Had,Katie Holmes,2016,105,5.8,1004,,48
110,Ex Machina,Alex Garland,2014,108,7.7,339797,25.44,78
111,The Belko Experiment,Greg McLean,2016,89,6.3,3712,10.16,44
112,12 Years a Slave,Steve McQueen,2013,134,8.1,486338,56.67,96
113,The Bad Batch,Ana Lily Amirpour,2016,118,6.1,512,,65
114,300,Zack Snyder,2006,117,7.7,637104,210.59,52
115,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011,130,8.1,590595,380.96,87
116,Office Christmas Party,Josh Gordon,2016,105,5.8,30761,54.73,42
117,The Neon Demon,Nicolas Winding Refn,2016,118,6.2,50359,1.33,51
118,Dangal,Nitesh Tiwari,2016,161,8.8,48969,11.15,
119,10 Cloverfield Lane,Dan Trachtenberg,2016,104,7.2,192968,71.9,76
120,Finding Dory,Andrew Stanton,2016,97,7.4,157026,486.29,77
121,Miss Peregrine's Home for Peculiar Children,Tim Burton,2016,127,6.7,101058,87.24,57
122,Divergent,Neil Burger,2014,139,6.7,362093,150.83,48
123,Mike and Dave Need Wedding Dates,Jake Szymanski,2016,98,6,53183,46.01,51
124,Boyka: Undisputed IV,Todor Chapkanov,2016,86,7.4,10428,,
125,The Dark Knight Rises,Christopher Nolan,2012,164,8.5,1222645,448.13,78
126,The Jungle Book,Jon Favreau,2016,106,7.5,198243,364,77
127,Transformers: Age of Extinction,Michael Bay,2014,165,5.7,255483,245.43,32
128,Nerve,Henry Joost,2016,96,6.6,69651,38.56,58
129,Mamma Mia!,Phyllida Lloyd,2008,108,6.4,153481,143.7,51
130,The Revenant,Alejandro González Iñárritu,2015,156,8,499424,183.64,76
131,Fences,Denzel Washington,2016,139,7.3,50953,57.64,79
132,Into the Woods,Rob Marshall,2014,125,6,109756,128,69
133,The Shallows,Jaume Collet-Serra,2016,86,6.4,78328,55.12,59
134,Whiplash,Damien Chazelle,2014,107,8.5,477276,13.09,88
135,Furious 6,Justin Lin,2013,130,7.1,318051,238.67,61
136,The Place Beyond the Pines,Derek Cianfrance,2012,140,7.3,200090,21.38,68
137,No Country for Old Men,Ethan Coen,2007,122,8.1,660286,74.27,91
138,The Great Gatsby,Baz Luhrmann,2013,143,7.3,386102,144.81,55
139,Shutter Island,Martin Scorsese,2010,138,8.1,855604,127.97,63
140,Brimstone,Martin Koolhoven,2016,148,7.1,13004,,44
141,Star Trek,J.J. Abrams,2009,127,8,526324,257.7,82
142,Diary of a Wimpy Kid,Thor Freudenthal,2010,94,6.2,34184,64,56
143,The Big Short,Adam McKay,2015,130,7.8,246360,70.24,81
144,Room,Lenny Abrahamson,2015,118,8.2,224132,14.68,86
145,Django Unchained,Quentin Tarantino,2012,165,8.4,1039115,162.8,81
146,Ah-ga-ssi,Chan-wook Park,2016,144,8.1,33418,2.01,84
147,The Edge of Seventeen,Kelly Fremon Craig,2016,104,7.4,47694,14.26,77
148,Watchmen,Zack Snyder,2009,162,7.6,410249,107.5,56
149,Superbad,Greg Mottola,2007,113,7.6,442082,121.46,76
150,Inferno,Ron Howard,2016,121,6.2,97623,34.26,42
151,The BFG,Steven Spielberg,2016,117,6.4,50853,55.47,66
152,The Hunger Games,Gary Ross,2012,142,7.2,735604,408,68
153,White Girl,Elizabeth Wood,2016,88,5.8,4299,0.2,65
154,Sicario,Denis Villeneuve,2015,121,7.6,243230,46.88,82
155,Twin Peaks: The Missing Pieces,David Lynch,2014,91,8.1,1973,,
156,Aliens vs Predator - Requiem,Colin Strause,2007,94,4.7,97618,41.8,29
157,Pacific Rim,Guillermo del Toro,2013,131,7,400519,101.79,64
158,Crazy Stupid Love.,Glenn Ficarra,2011,118,7.4,396714,84.24,68
159,Scott Pilgrim vs. the World,Edgar Wright,2010,112,7.5,291457,31.49,69
160,Hot Fuzz,Edgar Wright,2007,121,7.9,373244,23.62,81
161,Mine,Fabio Guaglione,2016,106,6,5926,,40
162,Free Fire,Ben Wheatley,2016,90,7,6946,1.8,63
163,X-Men: Days of Future Past,Bryan Singer,2014,132,8,552298,233.91,74
164,Jack Reacher: Never Go Back,Edward Zwick,2016,118,6.1,78043,58.4,47
165,Casino Royale,Martin Campbell,2006,144,8,495106,167.01,80
166,Twilight,Catherine Hardwicke,2008,122,5.2,361449,191.45,56
167,Now You See Me 2,Jon M. Chu,2016,129,6.5,156567,65.03,46
168,Woman in Gold,Simon Curtis,2015,109,7.3,39723,33.31,51
169,13 Hours,Michael Bay,2016,144,7.3,76935,52.82,48
170,Spectre,Sam Mendes,2015,148,6.8,308981,200.07,60
171,Nightcrawler,Dan Gilroy,2014,118,7.9,332476,32.28,76
172,Kubo and the Two Strings,Travis Knight,2016,101,7.9,72778,48.02,84
173,Beyond the Gates,Jackson Stewart,2016,84,5.2,2127,,59
174,Her,Spike Jonze,2013,126,8,390531,25.56,90
175,Frozen,Chris Buck,2013,102,7.5,451894,400.74,74
176,Tomorrowland,Brad Bird,2015,130,6.5,143069,93.42,60
177,Dawn of the Planet of the Apes,Matt Reeves,2014,130,7.6,337777,208.54,79
178,Tropic Thunder,Ben Stiller,2008,107,7,321442,110.42,71
179,The Conjuring 2,James Wan,2016,134,7.4,137203,102.46,65
180,Ant-Man,Peyton Reed,2015,117,7.3,368912,180.19,64
181,Bridget Jones's Baby,Sharon Maguire,2016,118,6.7,43086,24.09,59
182,The VVitch: A New-England Folktale,Robert Eggers,2015,92,6.8,101781,25.14,83
183,Cinderella,Kenneth Branagh,2015,105,7,117018,201.15,67
184,Realive,Mateo Gil,2016,112,5.9,1176,,
185,Forushande,Asghar Farhadi,2016,124,8,22389,3.4,85
186,Love,Gaspar Noé,2015,135,6,24003,,51
187,Billy Lynn's Long Halftime Walk,Ang Lee,2016,113,6.3,11944,1.72,53
188,Crimson Peak,Guillermo del Toro,2015,119,6.6,97454,31.06,66
189,Drive,Nicolas Winding Refn,2011,100,7.8,461509,35.05,78
190,Trainwreck,Judd Apatow,2015,125,6.3,106364,110.01,75
191,The Light Between Oceans,Derek Cianfrance,2016,133,7.2,27382,12.53,60
192,Below Her Mouth,April Mullen,2016,94,5.6,1445,,42
193,Spotlight,Tom McCarthy,2015,128,8.1,268282,44.99,93
194,Morgan,Luke Scott,2016,92,5.8,22107,3.91,48
195,Warrior,Gavin O'Connor,2011,140,8.2,355722,13.65,71
196,Captain America: The First Avenger,Joe Johnston,2011,124,6.9,547368,176.64,66
197,Hacker,Akan Satayev,2016,95,6.3,3799,,
198,Into the Wild,Sean Penn,2007,148,8.1,459304,18.35,73
199,The Imitation Game,Morten Tyldum,2014,114,8.1,532353,91.12,73
200,Central Intelligence,Rawson Marshall Thurber,2016,107,6.3,97082,127.38,52
201,Edge of Tomorrow,Doug Liman,2014,113,7.9,471815,100.19,71
202,A Cure for Wellness,Gore Verbinski,2016,146,6.5,12193,8.1,47
203,Snowden,Oliver Stone,2016,134,7.3,79855,21.48,58
204,Iron Man,Jon Favreau,2008,126,7.9,737719,318.3,79
205,Allegiant,Robert Schwentke,2016,120,5.7,70504,66,33
206,X: First Class,Matthew Vaughn,2011,132,7.8,550011,146.41,65
207,Raw (II),Julia Ducournau,2016,99,7.5,5435,0.51,81
208,Paterson,Jim Jarmusch,2016,118,7.5,26089,2.14,90
209,Bridesmaids,Paul Feig,2011,125,6.8,227912,169.08,75
210,The Girl with All the Gifts,Colm McCarthy,2016,111,6.7,23713,,67
211,San Andreas,Brad Peyton,2015,114,6.1,161396,155.18,43
212,Spring Breakers,Harmony Korine,2012,94,5.3,114290,14.12,63
213,Transformers,Michael Bay,2007,144,7.1,531112,318.76,61
214,Old Boy,Spike Lee,2013,104,5.8,54679,,49
215,Thor: The Dark World,Alan Taylor,2013,112,7,443584,206.36,54
216,Gods of Egypt,Alex Proyas,2016,126,5.5,73568,31.14,25
217,Captain America: The Winter Soldier,Anthony Russo,2014,136,7.8,542362,259.75,70
218,Monster Trucks,Chris Wedge,2016,104,5.7,7044,33.04,41
219,A Dark Song,Liam Gavin,2016,100,6.1,1703,,67
220,Kick-Ass,Matthew Vaughn,2010,117,7.7,456749,48.04,66
221,Hardcore Henry,Ilya Naishuller,2015,96,6.7,61098,9.24,51
222,Cars,John Lasseter,2006,117,7.1,283445,244.05,73
223,It Follows,David Robert Mitchell,2014,100,6.9,136399,14.67,83
224,The Girl with the Dragon Tattoo,David Fincher,2011,158,7.8,348551,102.52,71
225,We're the Millers,Rawson Marshall Thurber,2013,110,7,334867,150.37,44
226,American Honey,Andrea Arnold,2016,163,7,19660,0.66,79
227,The Lobster,Yorgos Lanthimos,2015,119,7.1,121313,8.7,82
228,Predators,Nimród Antal,2010,107,6.4,179450,52,51
229,Maleficent,Robert Stromberg,2014,97,7,268877,241.41,56
230,Rupture,Steven Shainberg,2016,102,4.8,2382,,35
231,Pan's Labyrinth,Guillermo del Toro,2006,118,8.2,498879,37.62,98
232,A Kind of Murder,Andy Goddard,2016,95,5.2,3305,0,50
233,Apocalypto,Mel Gibson,2006,139,7.8,247926,50.86,68
234,Mission: Impossible - Rogue Nation,Christopher McQuarrie,2015,131,7.4,257472,195,75
235,The Huntsman: Winter's War,Cedric Nicolas-Troyan,2016,114,6.1,66766,47.95,35
236,The Perks of Being a Wallflower,Stephen Chbosky,2012,102,8,377336,17.74,67
237,Jackie,Pablo Larraín,2016,100,6.8,41446,13.96,81
238,The Disappointments Room,D.J. Caruso,2016,85,3.9,4895,2.41,31
239,The Grand Budapest Hotel,Wes Anderson,2014,99,8.1,530881,59.07,88
240,The Host,Andrew Niccol,2013,125,5.9,96852,26.62,35
241,Fury,David Ayer,2014,134,7.6,332234,85.71,64
242,Inside Out,Pete Docter,2015,95,8.2,416689,356.45,94
243,Rock Dog,Ash Brannon,2016,90,5.8,1109,9.4,48
244,Terminator Genisys,Alan Taylor,2015,126,6.5,205365,89.73,38
245,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,2010,118,5.9,148949,88.76,47
246,Les Misérables,Tom Hooper,2012,158,7.6,257426,148.78,63
247,Children of Men,Alfonso Cuarón,2006,109,7.9,382910,35.29,84
248,20th Century Women,Mike Mills,2016,119,7.4,14708,5.66,83
249,Spy,Paul Feig,2015,119,7.1,188017,110.82,75
250,The Intouchables,Olivier Nakache,2011,112,8.6,557965,13.18,57
251,Bonjour Anne,Eleanor Coppola,2016,92,4.9,178,0.32,50
252,Kynodontas,Yorgos Lanthimos,2009,94,7.3,50946,0.11,73
253,Straight Outta Compton,F. Gary Gray,2015,147,7.9,139831,161.03,72
254,The Amazing Spider-Man 2,Marc Webb,2014,142,6.7,342183,202.85,53
255,The Conjuring,James Wan,2013,112,7.5,330305,137.39,68
256,The Hangover,Todd Phillips,2009,100,7.8,611563,277.31,73
257,Battleship,Peter Berg,2012,131,5.8,210349,65.17,41
258,Rise of the Planet of the Apes,Rupert Wyatt,2011,105,7.6,422290,176.74,68
259,Lights Out,David F. Sandberg,2016,81,6.4,69823,67.24,58
260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Joseph Cedar,2016,118,7.1,664,2.27,76
261,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,2014,119,7.8,440299,42.34,88
262,Black Swan,Darren Aronofsky,2010,108,8,581518,106.95,79
263,Dear White People,Justin Simien,2014,108,6.2,21715,4.4,79
264,Nymphomaniac: Vol. I,Lars von Trier,2013,117,7,90556,0.79,64
265,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,2016,112,6,59312,0.54,40
266,Knock Knock,Eli Roth,2015,99,4.9,53441,0.03,53
267,Dirty Grandpa,Dan Mazer,2016,102,6,75137,35.54,18
268,Cloud Atlas,Tom Tykwer,2012,172,7.5,298651,27.1,55
269,X-Men Origins: Wolverine,Gavin Hood,2009,107,6.7,388447,179.88,40
270,Satanic,Jeffrey G. Hunt,2016,85,3.7,2384,,
271,Skyfall,Sam Mendes,2012,143,7.8,547386,304.36,81
272,The Hobbit: An Unexpected Journey,Peter Jackson,2012,169,7.9,668651,303,58
273,21 Jump Street,Phil Lord,2012,110,7.2,432046,138.45,69
274,Sing Street,John Carney,2016,106,8,52144,3.23,79
275,Ballerina,Eric Summer,2016,89,6.8,4729,,
276,Oblivion,Joseph Kosinski,2013,124,7,410125,89.02,54
277,22 Jump Street,Phil Lord,2014,112,7.1,280110,191.62,71
278,Zodiac,David Fincher,2007,157,7.7,329683,33.05,78
279,Everybody Wants Some!!,Richard Linklater,2016,117,7,36312,3.37,83
280,Iron Man Three,Shane Black,2013,130,7.2,591023,408.99,62
281,Now You See Me,Louis Leterrier,2013,115,7.3,492324,117.7,50
282,Sherlock Holmes,Guy Ritchie,2009,128,7.6,501769,209.02,57
283,Death Proof,Quentin Tarantino,2007,113,7.1,220236,,
284,The Danish Girl,Tom Hooper,2015,119,7,110773,12.71,66
285,Hercules,Brett Ratner,2014,98,6,122838,72.66,47
286,Sucker Punch,Zack Snyder,2011,110,6.1,204874,36.38,33
287,Keeping Up with the Joneses,Greg Mottola,2016,105,5.8,30405,14.9,34
288,Jupiter Ascending,Lana Wachowski,2015,127,5.3,150121,47.38,40
289,Masterminds,Jared Hess,2016,95,5.8,26508,17.36,47
290,Iris,Jalil Lespert,2016,99,6.1,726,,
291,Busanhaeng,Sang-ho Yeon,2016,118,7.5,58782,2.13,72
292,Pitch Perfect,Jason Moore,2012,112,7.2,226631,65,66
293,Neighbors 2: Sorority Rising,Nicholas Stoller,2016,92,5.7,76327,55.29,58
294,The Exception,David Leveaux,2016,107,7.7,96,,
295,Man of Steel,Zack Snyder,2013,143,7.1,577010,291.02,55
296,The Choice,Ross Katz,2016,111,6.6,20514,18.71,26
297,Ice Age: Collision Course,Mike Thurmeier,2016,94,5.7,34523,64.06,34
298,The Devil Wears Prada,David Frankel,2006,109,6.8,302268,124.73,62
299,The Infiltrator,Brad Furman,2016,127,7.1,43929,15.43,66
300,There Will Be Blood,Paul Thomas Anderson,2007,158,8.1,400682,40.22,92
301,The Equalizer,Antoine Fuqua,2014,132,7.2,249425,101.53,57
302,Lone Survivor,Peter Berg,2013,121,7.5,218996,125.07,60
303,The Cabin in the Woods,Drew Goddard,2012,95,7,295554,42.04,72
304,The House Bunny,Fred Wolf,2008,97,5.5,67033,48.24,55
305,She's Out of My League,Jim Field Smith,2010,104,6.4,105619,31.58,46
306,Inherent Vice,Paul Thomas Anderson,2014,148,6.7,69509,8.09,81
307,Alice Through the Looking Glass,James Bobin,2016,113,6.2,57207,77.04,34
308,Vincent N Roxxy,Gary Michael Schultz,2016,110,5.5,403,,
309,The Fast and the Furious: Tokyo Drift,Justin Lin,2006,104,6,193479,62.49,45
310,How to Be Single,Christian Ditter,2016,110,6.1,59886,46.81,51
311,The Blind Side,John Lee Hancock,2009,129,7.7,237221,255.95,53
312,La vie d'Adèle,Abdellatif Kechiche,2013,180,7.8,103150,2.2,88
313,The Babadook,Jennifer Kent,2014,93,6.8,132580,0.92,86
314,The Hobbit: The Battle of the Five Armies,Peter Jackson,2014,144,7.4,385598,255.11,59
315,Harry Potter and the Order of the Phoenix,David Yates,2007,138,7.5,385325,292,71
316,Snowpiercer,Bong Joon Ho,2013,126,7,199048,4.56,84
317,The 5th Wave,J Blakeson,2016,112,5.2,73093,34.91,33
318,The Stakelander,Dan Berk,2016,81,5.3,1263,,
319,The Visit,M. Night Shyamalan,2015,94,6.2,81429,65.07,55
320,Fast Five,Justin Lin,2011,131,7.3,300803,209.81,66
321,Step Up,Anne Fletcher,2006,104,6.5,95960,65.27,48
322,Lovesong,So Yong Kim,2016,84,6.4,616,0.01,74
323,RocknRolla,Guy Ritchie,2008,114,7.3,203096,5.69,53
324,In Time,Andrew Niccol,2011,109,6.7,319025,37.55,53
325,The Social Network,David Fincher,2010,120,7.7,510100,96.92,95
326,The Last Witch Hunter,Breck Eisner,2015,106,6,71149,27.36,34
327,Victor Frankenstein,Paul McGuigan,2015,110,6,37975,5.77,36
