Rank,Title,Director,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
328,A Street Cat Named Bob,Roger Spottiswoode,2016,103,7.4,12643,0.04,54
329,Green Room,Jeremy Saulnier,2015,95,7,62885,3.22,79
330,Blackhat,Michael Mann,2015,133,5.4,43085,7.1,51
331,Storks,Nicholas Stoller,2016,87,6.9,34248,72.66,56
332,American Sniper,Clint Eastwood,2014,133,7.3,353305,350.12,72
333,Dallas Buyers Club,Jean-Marc Vallée,2013,117,8,352801,27.3,84
334,Lincoln,Steven Spielberg,2012,150,7.4,207497,182.2,86
335,Rush,Ron Howard,2013,123,8.1,339722,26.9,75
336,Before I Wake,Mike Flanagan,2016,97,6.1,18201,,
337,Silver Linings Playbook,David O. Russell,2012,122,7.8,564364,132.09,81
338,Tracktown,Alexi Pappas,2016,88,5.9,115,,64
339,The Fault in Our Stars,Josh Boone,2014,126,7.8,271301,124.87,69
340,Blended,Frank Coraci,2014,117,6.5,93764,46.28,31
341,Fast & Furious,Justin Lin,2009,107,6.6,217464,155.02,46
342,Looper,Rian Johnson,2012,119,7.4,452369,66.47,84
343,White House Down,Roland Emmerich,2013,131,6.4,173320,73.1,52
344,Pete's Dragon,David Lowery,2016,102,6.8,36322,76.2,71
345,Spider-Man 3,Sam Raimi,2007,139,6.2,406219,336.53,59
346,The Three Musketeers,Paul W.S. Anderson,2011,110,5.8,92329,20.32,35
347,Stardust,Matthew Vaughn,2007,127,7.7,220664,38.35,66
348,American Hustle,David O. Russell,2013,138,7.3,379088,150.12,90
349,Jennifer's Body,Karyn Kusama,2009,102,5.1,96617,16.2,47
350,Midnight in Paris,Woody Allen,2011,94,7.7,320323,56.82,81
351,Lady Macbeth,William Oldroyd,2016,89,7.3,1396,,83
352,Joy,David O. Russell,2015,124,6.6,97679,56.44,56
353,The Dressmaker,Jocelyn Moorhouse,2015,119,7.1,33352,2.02,47
354,Café Society,Woody Allen,2016,96,6.7,45579,11.08,64
355,Insurgent,Robert Schwentke,2015,119,6.3,171970,130,42
356,Seventh Son,Sergei Bodrov,2014,102,5.5,59958,17.18,30
357,Demain tout commence,Hugo Gélin,2016,118,7.4,5496,,
358,The Theory of Everything,James Marsh,2014,123,7.7,299718,35.89,72
359,This Is the End,Evan Goldberg,2013,107,6.6,327838,101.47,67
360,About Time,Richard Curtis,2013,123,7.8,221600,15.29,55
361,Step Brothers,Adam McKay,2008,98,6.9,223065,100.47,51
362,Clown,Jon Watts,2014,100,5.7,14248,0.05,42
363,Star Trek Into Darkness,J.J. Abrams,2013,132,7.8,417663,228.76,72
364,Zombieland,Ruben Fleischer,2009,88,7.7,409403,75.59,73
365,Hail Caesar!,Ethan Coen,2016,106,6.3,89059,30,72
366,Slumdog Millionaire,Danny Boyle,2008,120,8,677044,141.32,86
367,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,2012,115,5.5,194329,292.3,52
368,American Wrestler: The Wizard,Alex Ranarivelo,2016,117,6.9,286,,
369,The Amazing Spider-Man,Marc Webb,2012,136,7,474320,262.03,66
370,Ben-Hur,Timur Bekmambetov,2016,123,5.7,28326,26.38,38
371,Sleight,J.D. Dillard,2016,89,6,702,3.85,62
372,The Maze Runner,Wes Ball,2014,113,6.8,335531,102.41,57
373,Criminal,Ariel Vromen,2016,113,6.3,38430,14.27,36
374,Wanted,Timur Bekmambetov,2008,110,6.7,312495,134.57,64
375,Florence Foster Jenkins,Stephen Frears,2016,111,6.9,31776,27.37,71
376,Collide,Eran Creevy,2016,99,5.7,7583,2.2,33
377,Black Mass,Scott Cooper,2015,123,6.9,135706,62.56,68
378,Creed,Ryan Coogler,2015,133,7.6,175673,109.71,82
379,Swiss Army Man,Dan Kwan,2016,97,7.1,61812,4.21,64
380,The Expendables 3,Patrick Hughes,2014,126,6.1,137568,39.29,35
381,What We Do in the Shadows,Jemaine Clement,2014,86,7.6,84016,3.33,76
382,Southpaw,Antoine Fuqua,2015,124,7.4,169083,52.42,57
383,Hush,Mike Flanagan,2016,81,6.6,45867,,67
384,Bridge of Spies,Steven Spielberg,2015,142,7.6,217938,72.31,81
385,The Lego Movie,Phil Lord,2014,100,7.8,266508,257.76,83
386,Everest,Baltasar Kormákur,2015,121,7.1,154647,43.25,64
387,Pixels,Chris Columbus,2015,105,5.6,101092,78.75,27
388,Robin Hood,Ridley Scott,2010,140,6.7,221117,105.22,53
389,The Wolverine,James Mangold,2013,126,6.7,355362,132.55,60
390,John Carter,Andrew Stanton,2012,132,6.6,220667,73.06,51
391,Keanu,Peter Atencio,2016,100,6.3,31913,20.57,63
392,The Gunman,Pierre Morel,2015,115,5.8,31194,10.64,39
393,Steve Jobs,Danny Boyle,2015,122,7.2,116112,17.75,82
394,Whisky Galore,Gillies MacKinnon,2016,98,5,102,,43
395,Grown Ups 2,Dennis Dugan,2013,101,5.4,114482,133.67,19
396,The Age of Adaline,Lee Toland Krieger,2015,112,7.2,112288,42.48,51
397,The Incredible Hulk,Louis Leterrier,2008,112,6.8,342355,134.52,61
398,Couples Retreat,Peter Billingsley,2009,113,5.5,86417,109.18,23
399,Absolutely Anything,Terry Jones,2015,85,6,26587,,31
400,Magic Mike,Steven Soderbergh,2012,110,6.1,113686,113.71,72
401,Minions,Kyle Balda,2015,91,6.4,159830,336.03,56
402,The Black Room,Rolfe Kanefsky,2016,91,3.9,240,,71
403,Bronson,Nicolas Winding Refn,2008,92,7.1,93972,0.1,
404,Despicable Me,Pierre Coffin,2010,95,7.7,410607,251.5,72
405,The Best of Me,Michael Hoffman,2014,118,6.7,49041,26.76,29
406,The Invitation,Karyn Kusama,2015,100,6.7,40529,0.23,74
407,Zero Dark Thirty,Kathryn Bigelow,2012,157,7.4,226661,95.72,95
408,Tangled,Nathan Greno,2010,100,7.8,316459,200.81,71
409,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,2015,137,6.6,202380,281.67,65
410,Vacation,John Francis Daley,2015,99,6.1,74589,58.88,34
411,Taken,Pierre Morel,2008,93,7.8,502961,145,50
412,Pitch Perfect 2,Elizabeth Banks,2015,115,6.5,108306,183.44,63
413,Monsters University,Dan Scanlon,2013,104,7.3,252119,268.49,65
414,Elle,Paul Verhoeven,2016,130,7.2,35417,,89
415,Mechanic: Resurrection,Dennis Gansel,2016,98,5.6,48161,21.2,38
416,Tusk,Kevin Smith,2014,102,5.4,34546,1.82,55
417,The Headhunter's Calling,Mark Williams,2016,108,6.9,164,,85
418,Atonement,Joe Wright,2007,123,7.8,202890,50.92,
419,Harry Potter and the Deathly Hallows: Part 1,David Yates,2010,146,7.7,357213,294.98,65
420,Shame,Steve McQueen,2011,101,7.2,155010,4,72
421,Hanna,Joe Wright,2011,111,6.8,164208,40.25,65
422,The Babysitters,David Ross,2007,88,5.7,8914,0.04,35
423,Pride and Prejudice and Zombies,Burr Steers,2016,108,5.8,35003,10.91,45
424,300: Rise of an Empire,Noam Murro,2014,102,6.2,237887,106.37,48
425,London Has Fallen,Babak Najafi,2016,99,5.9,100702,62.4,28
426,The Curious Case of Benjamin Button,David Fincher,2008,166,7.8,485075,127.49,70
427,Sin City: A Dame to Kill For,Frank Miller,2014,102,6.5,122185,13.75,46
428,The Bourne Ultimatum,Paul Greengrass,2007,115,8.1,525700,227.14,85
429,Srpski film,Srdjan Spasojevic,2010,104,5.2,43648,,55
430,The Purge: Election Year,James DeMonaco,2016,109,6,54216,79,
431,3 Idiots,Rajkumar Hirani,2009,170,8.4,238789,6.52,67
432,Zoolander 2,Ben Stiller,2016,102,4.7,48297,28.84,34
433,World War Z,Marc Forster,2013,116,7,494819,202.35,63
434,Mission: Impossible - Ghost Protocol,Brad Bird,2011,132,7.4,382459,209.36,73
435,Let Me Make You a Martyr,Corey Asraf,2016,102,6.4,223,,56
436,Filth,Jon S. Baird,2013,97,7.1,81301,0.03,
437,The Longest Ride,George Tillman Jr.,2015,123,7.1,58421,37.43,33
438,The imposible,J.A. Bayona,2012,114,7.6,156189,19,73
439,Kick-Ass 2,Jeff Wadlow,2013,103,6.6,214825,28.75,41
440,Folk Hero & Funny Guy,Jeff Grace,2016,88,5.6,220,,63
441,Oz the Great and Powerful,Sam Raimi,2013,130,6.3,181521,234.9,44
442,Brooklyn,John Crowley,2015,117,7.5,94977,38.32,87
443,Coraline,Henry Selick,2009,100,7.7,156620,75.28,80
444,Blue Valentine,Derek Cianfrance,2010,112,7.4,151409,9.7,81
445,The Thinning,Michael J. Gallagher,2016,81,6,4531,,31
446,Silent Hill,Christophe Gans,2006,125,6.6,184152,46.98,
447,Dredd,Pete Travis,2012,95,7.1,213764,13.4,59
448,Hunt for the Wilderpeople,Taika Waititi,2016,101,7.9,52331,5.2,81
449,Big Hero 6,Don Hall,2014,102,7.8,309186,222.49,74
450,Carrie,Kimberly Peirce,2013,100,5.9,113272,35.27,53
451,Iron Man 2,Jon Favreau,2010,124,7,556666,312.06,57
452,Demolition,Jean-Marc Vallée,2015,101,7,58720,1.82,49
453,Pandorum,Christian Alvart,2009,108,6.8,126656,10.33,28
454,Olympus Has Fallen,Antoine Fuqua,2013,119,6.5,214994,98.9,41
455,I Am Number Four,D.J. Caruso,2011,109,6.1,202682,55.09,36
456,Jagten,Thomas Vinterberg,2012,115,8.3,192263,0.61,76
457,The Proposal,Anne Fletcher,2009,108,6.7,241709,163.95,48
458,Get Hard,Etan Cohen,2015,100,6,95119,90.35,34
459,Just Go with It,Dennis Dugan,2011,117,6.4,182069,103.03,33
460,Revolutionary Road,Sam Mendes,2008,119,7.3,159736,22.88,69
461,The Town,Ben Affleck,2010,125,7.6,294553,92.17,74
462,The Boy,William Brent Bell,2016,97,6,51235,35.79,42
463,Denial,Mick Jackson,2016,109,6.6,8229,4.07,63
464,Predestination,Michael Spierig,2014,97,7.5,187760,,69
465,Goosebumps,Rob Letterman,2015,103,6.3,57602,80.02,60
466,Sherlock Holmes: A Game of Shadows,Guy Ritchie,2011,129,7.5,357436,186.83,48
467,Salt,Phillip Noyce,2010,100,6.4,255813,118.31,65
468,Enemy,Denis Villeneuve,2013,91,6.9,111558,1.01,61
469,District 9,Neill Blomkamp,2009,112,8,556794,115.65,81
470,The Other Guys,Adam McKay,2010,107,6.7,199900,119.22,64
471,American Gangster,Ridley Scott,2007,157,7.8,337835,130.13,76
472,Marie Antoinette,Sofia Coppola,2006,123,6.4,83941,15.96,65
473,2012,Roland Emmerich,2009,158,5.8,297984,166.11,49
474,Harry Potter and the Half-Blood Prince,David Yates,2009,153,7.5,351059,301.96,78
475,Argo,Ben Affleck,2012,120,7.7,481274,136.02,86
476,Eddie the Eagle,Dexter Fletcher,2016,106,7.4,56332,15.79,54
477,The Lives of Others,Florian Henckel von Donnersmarck,2006,137,8.5,278103,11.28,89
478,Pet,Carles Torrens,2016,94,5.7,8404,,48
479,Paint It Black,Amber Tamblyn,2016,96,8.3,61,,71
480,Macbeth,Justin Kurzel,2015,113,6.7,41642,,71
481,Forgetting Sarah Marshall,Nicholas Stoller,2008,111,7.2,226619,62.88,67
482,The Giver,Phillip Noyce,2014,97,6.5,93799,45.09,47
483,Triple 9,John Hillcoat,2016,115,6.3,48400,12.63,52
484,Perfetti sconosciuti,Paolo Genovese,2016,97,7.7,17584,,43
485,Angry Birds,Clay Kaytis,2016,97,6.3,55781,107.51,
486,Moonrise Kingdom,Wes Anderson,2012,94,7.8,254446,45.51,84
487,Hairspray,Adam Shankman,2007,117,6.7,102954,118.82,81
488,Safe Haven,Lasse Hallström,2013,115,6.7,84765,71.35,34
489,Focus,Glenn Ficarra,2015,105,6.6,166489,53.85,56
490,Ratatouille,Brad Bird,2007,111,8,504039,206.44,96
491,Stake Land,Jim Mickle,2010,98,6.5,36091,0.02,66
492,The Book of Eli,Albert Hughes,2010,118,6.9,241359,94.82,53
493,Cloverfield,Matt Reeves,2008,85,7,313803,80.03,64
494,Point Break,Ericson Core,2015,114,5.3,44553,28.77,34
495,Under the Skin,Jonathan Glazer,2013,108,6.3,94707,2.61,78
496,I Am Legend,Francis Lawrence,2007,101,7.2,565721,256.39,65
497,Men in Black 3,Barry Sonnenfeld,2012,106,6.8,278379,179.02,58
498,Super 8,J.J. Abrams,2011,112,7.1,298913,126.98,72
499,Law Abiding Citizen,F. Gary Gray,2009,109,7.4,228339,73.34,34
500,Up,Pete Docter,2009,96,8.3,722203,292.98,88
501,Maze Runner: The Scorch Trials,Wes Ball,2015,131,6.3,159364,81.69,43
502,Carol,Todd Haynes,2015,118,7.2,77995,0.25,95
503,Imperium,Daniel Ragussis,2016,109,6.5,27428,,68
504,Youth,Paolo Sorrentino,2015,124,7.3,52636,2.7,64
505,Mr. Nobody,Jaco Van Dormael,2009,141,7.9,166872,,63
506,City of Tiny Lights,Pete Travis,2016,110,5.7,291,,54
507,Savages,Oliver Stone,2012,131,6.5,107960,47.31,59
508,(500) Days of Summer,Marc Webb,2009,95,7.7,398972,32.39,76
509,Movie 43,Elizabeth Banks,2013,94,4.3,83625,8.83,18
510,Gravity,Alfonso Cuarón,2013,91,7.8,622089,274.08,96
511,The Boy in the Striped Pyjamas,Mark Herman,2008,94,7.8,144614,9.03,55
512,Shooter,Antoine Fuqua,2007,124,7.2,267820,46.98,53
513,The Happening,M. Night Shyamalan,2008,91,5,170897,64.51,34
514,Bone Tomahawk,S. Craig Zahler,2015,132,7.1,47289,66.01,72
515,Magic Mike XXL,Gregory Jacobs,2015,115,5.7,42506,,60
516,Easy A,Will Gluck,2010,92,7.1,294950,58.4,72
517,Exodus: Gods and Kings,Ridley Scott,2014,150,6,137299,65.01,52
518,Chappie,Neill Blomkamp,2015,120,6.9,188769,31.57,41
519,The Hobbit: The Desolation of Smaug,Peter Jackson,2013,161,7.9,513744,258.36,66
520,Half of a Yellow Sun,Biyi Bandele,2013,111,6.2,1356,0.05,51
521,Anthropoid,Sean Ellis,2016,120,7.2,24100,2.96,59
522,The Counselor,Ridley Scott,2013,117,5.3,84927,16.97,48
523,Viking,Andrey Kravchuk,2016,133,4.7,1830,23.05,57
524,Whiskey Tango Foxtrot,Glenn Ficarra,2016,112,6.6,36156,,
525,Trust,David Schwimmer,2010,106,7,36043,0.06,60
526,Birth of the Dragon,George Nolfi,2016,103,3.9,552,93.05,61
527,Elysium,Neill Blomkamp,2013,109,6.6,358932,,
528,The Green Inferno,Eli Roth,2013,100,5.4,26461,7.19,38
529,Godzilla,Gareth Edwards,2014,123,6.4,318058,200.66,62
530,The Bourne Legacy,Tony Gilroy,2012,135,6.7,245374,113.17,61
531,A Good Year,Ridley Scott,2006,117,6.9,74674,7.46,47
532,Friend Request,Simon Verhoeven,2016,92,5.4,12758,64.03,59
533,Deja Vu,Tony Scott,2006,126,7,253858,,
534,Lucy,Luc Besson,2014,89,6.4,352698,126.55,61
535,A Quiet Passion,Terence Davies,2016,125,7.2,1024,1.08,77
536,Need for Speed,Scott Waugh,2014,132,6.5,143389,43.57,39
537,Jack Reacher,Christopher McQuarrie,2012,130,7,250811,58.68,50
538,The Do-Over,Steven Brill,2016,108,5.7,24761,0.54,22
539,True Crimes,Alexandros Avranas,2016,92,7.3,198,,43
540,American Pastoral,Ewan McGregor,2016,108,6.1,7115,,
541,The Ghost Writer,Roman Polanski,2010,128,7.2,137964,15.52,77
542,Limitless,Neil Burger,2011,105,7.4,444417,79.24,59
543,Spectral,Nic Mathieu,2016,107,6.3,27042,,39
544,P.S. I Love You,Richard LaGravenese,2007,126,7.1,177247,53.68,
545,Zipper,Mora Stephens,2015,103,5.7,4912,,39
546,Midnight Special,Jeff Nichols,2016,112,6.7,54787,3.71,76
547,Don't Think Twice,Mike Birbiglia,2016,92,6.8,10485,4.42,83
548,Alice in Wonderland,Tim Burton,2010,108,6.5,324898,334.19,53
549,Chuck,Philippe Falardeau,2016,98,6.8,391,0.11,68
550,I Daniel Blake,Ken Loach,2016,100,7.9,22941,,77
551,The Break-Up,Peyton Reed,2006,106,5.8,106381,118.68,45
552,Loving,Jeff Nichols,2016,123,7.1,17141,7.7,79
553,Fantastic Four,Josh Trank,2015,100,4.3,121847,56.11,27
554,The Survivalist,Stephen Fingleton,2015,104,6.3,9187,,80
555,Colonia,Florian Gallenberger,2015,106,7.1,30074,,33
556,The Boy Next Door,Rob Cohen,2015,91,4.6,30180,35.39,30
557,The Gift,Joel Edgerton,2015,108,7.1,96688,43.77,77
558,Dracula Untold,Gary Shore,2014,92,6.3,148504,55.94,40
559,In the Heart of the Sea,Ron Howard,2015,122,6.9,90372,24.99,47
560,Idiocracy,Mike Judge,2006,84,6.6,115355,0.44,66
561,The Expendables,Sylvester Stallone,2010,103,6.5,283282,102.98,45
562,Evil Dead,Fede Alvarez,2013,91,6.5,133113,54.24,57
563,Sinister,Scott Derrickson,2012,110,6.8,171169,48.06,53
564,Wreck-It Ralph,Rich Moore,2012,101,7.8,290559,189.41,72
565,Snow White and the Huntsman,Rupert Sanders,2012,127,6.1,239772,155.11,57
566,Pan,Joe Wright,2015,111,5.8,47804,34.96,36
567,Transformers: Dark of the Moon,Michael Bay,2011,154,6.3,338369,352.36,42
568,Juno,Jason Reitman,2007,96,7.5,432461,143.49,81
569,A Hologram for the King,Tom Tykwer,2016,98,6.1,26521,4.2,58
570,Money Monster,Jodie Foster,2016,98,6.5,68654,41.01,55
571,The Other Woman,Nick Cassavetes,2014,109,6,110825,83.91,39
572,Enchanted,Kevin Lima,2007,107,7.1,150353,127.71,75
573,The Intern,Nancy Meyers,2015,121,7.1,159582,75.27,51
574,Little Miss Sunshine,Jonathan Dayton,2006,101,7.8,374044,59.89,80
575,Bleed for This,Ben Younger,2016,117,6.8,11900,4.85,62
576,Clash of the Titans,Louis Leterrier,2010,106,5.8,238206,163.19,39
577,The Finest Hours,Craig Gillespie,2016,117,6.8,44425,27.55,58
578,Tron,Joseph Kosinski,2010,125,6.8,273959,172.05,49
579,The Hunger Games: Catching Fire,Francis Lawrence,2013,146,7.6,525646,424.65,76
580,All Good Things,Andrew Jarecki,2010,101,6.3,44158,0.58,57
581,Kickboxer: Vengeance,John Stockwell,2016,90,4.9,6809,131.56,37
582,The Last Airbender,M. Night Shyamalan,2010,103,4.2,125129,,20
583,Sex Tape,Jake Kasdan,2014,94,5.1,89885,38.54,36
584,What to Expect When You're Expecting,Kirk Jones,2012,110,5.7,60059,41.1,41
585,Moneyball,Bennett Miller,2011,133,7.6,297395,75.61,87
586,Ghost Rider,Mark Steven Johnson,2007,114,5.2,190673,115.8,35
587,Unbroken,Angelina Jolie,2014,137,7.2,114006,115.6,59
588,Immortals,Tarsem Singh,2011,110,6,142900,83.5,46
589,Sunshine,Danny Boyle,2007,107,7.3,199860,3.68,64
590,Brave,Mark Andrews,2012,93,7.2,293941,237.28,69
591,Män som hatar kvinnor,Niels Arden Oplev,2009,152,7.8,182074,10.1,76
592,Adoration,Anne Fontaine,2013,112,6.2,25208,0.32,37
593,The Drop,Michaël R. Roskam,2014,106,7.1,116118,10.72,69
594,She's the Man,Andy Fickman,2006,105,6.4,122864,2.34,45
595,Daddy's Home,Sean Anders,2015,96,6.1,68306,150.32,42
596,Let Me In,Matt Reeves,2010,116,7.2,97141,12.13,79
597,Never Back Down,Jeff Wadlow,2008,110,6.6,84083,24.85,39
598,Grimsby,Louis Leterrier,2016,83,6.2,63408,6.86,44
599,Moon,Duncan Jones,2009,97,7.9,277123,5.01,67
600,Megamind,Tom McGrath,2010,95,7.3,183926,148.34,63
601,Gangster Squad,Ruben Fleischer,2013,113,6.7,181432,46,40
602,Blood Father,Jean-François Richet,2016,88,6.4,40357,93.95,66
603,He's Just Not That Into You,Ken Kwapis,2009,129,6.4,137684,,47
604,Kung Fu Panda 3,Alessandro Carloni,2016,95,7.2,89791,143.52,66
605,The Rise of the Krays,Zackary Adler,2015,110,5.1,1630,6.53,90
606,Handsome Devil,John Butler,2016,95,7.4,338,,
607,Winter's Bone,Debra Granik,2010,100,7.2,116435,,
608,Horrible Bosses,Seth Gordon,2011,98,6.9,368556,117.53,57
609,Mommy,Xavier Dolan,2014,139,8.1,33560,3.49,74
610,Hellboy II: The Golden Army,Guillermo del Toro,2008,120,7,216932,75.75,78
611,Beautiful Creatures,Richard LaGravenese,2013,124,6.2,71822,19.45,52
612,Toni Erdmann,Maren Ade,2016,162,7.6,24387,1.48,93
613,The Lovely Bones,Peter Jackson,2009,135,6.7,130702,43.98,42
614,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,2007,160,7.5,143564,3.9,68
615,Don Jon,Joseph Gordon-Levitt,2013,90,6.6,199973,24.48,66
616,Bastille Day,James Watkins,2016,92,6.3,21089,0.04,48
617,2307: Winter's Dream,Joey Curtis,2016,101,4,277,20.76,53
618,Free State of Jones,Gary Ross,2016,139,6.9,29895,,
619,Mr. Right,Paco Cabezas,2015,95,6.3,30053,0.03,52
620,The Secret Life of Walter Mitty,Ben Stiller,2013,114,7.3,249877,58.23,54
621,Dope,Rick Famuyiwa,2015,103,7.3,66400,17.47,72
622,Underworld Awakening,Måns Mårlind,2012,88,6.4,127157,62.32,39
623,Antichrist,Lars von Trier,2009,108,6.6,94069,0.4,49
624,Friday the 13th,Marcus Nispel,2009,97,5.6,78631,65,34
625,Taken 3,Olivier Megaton,2014,109,6,144715,89.25,26
626,Total Recall,Len Wiseman,2012,118,6.3,210965,58.88,43
627,X-Men: The Last Stand,Brett Ratner,2006,104,6.7,406540,234.36,58
628,The Escort,Will Slocombe,2016,88,6,7181,,46
629,The Whole Truth,Courtney Hunt,2016,93,6.1,10700,,
630,Night at the Museum: Secret of the Tomb,Shawn Levy,2014,98,6.2,74886,113.73,47
631,Love & Other Drugs,Edward Zwick,2010,112,6.7,151519,32.36,55
632,The Interview,Evan Goldberg,2014,112,6.6,261536,6.11,52
633,The Host,Bong Joon Ho,2006,120,7,73491,2.2,85
634,Megan Is Missing,Michael Goi,2011,85,4.9,6683,,94
635,WALL·E,Andrew Stanton,2008,98,8.4,776897,223.81,
636,Knocked Up,Judd Apatow,2007,129,7,309398,148.73,85
637,Source Code,Duncan Jones,2011,93,7.5,404884,54.7,74
638,Lawless,John Hillcoat,2012,116,7.3,195360,37.4,58
639,Unfriended,Levan Gabriadze,2014,83,5.6,50402,31.54,59
640,American Reunion,Jon Hurwitz,2012,113,6.7,178471,56.72,49
641,The Pursuit of Happyness,Gabriele Muccino,2006,117,8,361105,162.59,64
642,Relatos salvajes,Damián Szifron,2014,122,8.1,110100,3.08,77
643,The Ridiculous 6,Frank Coraci,2015,119,4.8,31149,,18
644,Frantz,François Ozon,2016,113,7.5,4304,0.86,73
645,Viral,Henry Joost,2016,85,5.5,3564,,72
646,Gran Torino,Clint Eastwood,2008,116,8.2,595779,148.09,
647,Burnt,John Wells,2015,101,6.6,76469,13.65,42
648,Tall Men,Jonathan Holbrook,2016,133,3.2,173,,57
649,Sleeping Beauty,Julia Leigh,2011,101,5.3,27006,0.03,
650,Vampire Academy,Mark Waters,2014,104,5.6,44111,7.79,30
651,Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,2007,116,7.4,296289,52.88,83
652,Solace,Afonso Poyart,2015,101,6.4,36300,,36
653,Insidious,James Wan,2010,103,6.8,219916,53.99,52
654,Popstar: Never Stop Never Stopping,Akiva Schaffer,2016,87,6.7,30875,9.39,68
655,The Levelling,Hope Dickson Leach,2016,83,6.4,482,,82
656,Public Enemies,Michael Mann,2009,140,7,240323,97.03,70
657,Boyhood,Richard Linklater,2014,165,7.9,286722,25.36,100
658,Teenage Mutant Ninja Turtles,Jonathan Liebesman,2014,101,5.9,178527,190.87,31
659,Eastern Promises,David Cronenberg,2007,100,7.7,198006,17.11,82
660,The Daughter,Simon Stone,2015,96,6.7,2798,0.03,62
661,Pineapple Express,David Gordon Green,2008,111,7,267872,87.34,64
662,The First Time,Jon Kasdan,2012,95,6.9,54027,0.02,55
663,Gone Baby Gone,Ben Affleck,2007,114,7.7,206707,20.3,72
664,The Heat,Paul Feig,2013,117,6.6,140151,159.58,60
