Rank,Title,Director,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore
665,L'avenir,Mia Hansen-Løve,2016,102,7.1,5796,0.28,88
666,Anna Karenina,Joe Wright,2012,129,6.6,75291,12.8,63
667,Regression,Alejandro Amenábar,2015,106,5.7,26320,0.05,32
668,Ted 2,Seth MacFarlane,2015,115,6.3,136323,81.26,48
669,Pain & Gain,Michael Bay,2013,129,6.5,168875,49.87,45
670,Blood Diamond,Edward Zwick,2006,143,8,422014,57.37,64
671,Devil's Knot,Atom Egoyan,2013,114,6.1,15514,,42
672,Child 44,Daniel Espinosa,2015,137,6.5,47703,1.21,41
673,The Hurt Locker,Kathryn Bigelow,2008,131,7.6,352023,15.7,94
674,Green Lantern,Martin Campbell,2011,114,5.6,231907,116.59,39
675,War on Everyone,John Michael McDonagh,2016,98,5.9,9285,,50
676,The Mist,Frank Darabont,2007,126,7.2,233346,25.59,58
677,Escape Plan,Mikael Håfström,2013,115,6.7,188004,25.12,49
678,Love Rosie,Christian Ditter,2014,102,7.2,80415,0.01,44
679,The DUFF,Ari Sandel,2015,101,6.5,57874,34.02,56
680,The Age of Shadows,Jee-woon Kim,2016,140,7.2,2403,0.54,78
681,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,2014,123,6.7,331902,337.1,64
682,We Need to Talk About Kevin,Lynne Ramsay,2011,112,7.5,104953,1.74,68
683,Love & Friendship,Whit Stillman,2016,90,6.5,16164,14.01,87
684,The Mortal Instruments: City of Bones,Harald Zwart,2013,130,5.9,112313,31.17,33
685,Seven Pounds,Gabriele Muccino,2008,123,7.7,245144,69.95,36
686,The King's Speech,Tom Hooper,2010,118,8,534388,138.8,88
687,Hunger,Steve McQueen,2008,96,7.6,54486,0.15,82
688,Jumper,Doug Liman,2008,88,6.1,252503,80.17,35
689,Toy Story 3,Lee Unkrich,2010,103,8.3,586669,414.98,92
690,Tinker Tailor Soldier Spy,Tomas Alfredson,2011,122,7.1,157053,24.1,85
691,Resident Evil: Retribution,Paul W.S. Anderson,2012,96,5.4,114144,42.35,39
692,Dear Zindagi,Gauri Shinde,2016,151,7.8,23540,1.4,56
693,Genius,Michael Grandage,2016,104,6.5,10708,1.36,
694,Pompeii,Paul W.S. Anderson,2014,105,5.5,90188,23.22,39
695,Life of Pi,Ang Lee,2012,127,7.9,471109,124.98,79
696,Hachi: A Dog's Tale,Lasse Hallström,2009,93,8.1,177602,,61
697,10 Years,Jamie Linden,2011,100,6.1,19636,0.2,
698,I Origins,Mike Cahill,2014,106,7.3,86271,0.33,57
699,Live Free or Die Hard,Len Wiseman,2007,128,7.2,347567,134.52,69
700,The Matchbreaker,Caleb Vetter,2016,94,5.5,1427,,44
701,Funny Games,Michael Haneke,2007,111,6.5,73835,1.29,
702,Ted,Seth MacFarlane,2012,106,7,494641,218.63,62
703,RED,Robert Schwentke,2010,111,7.1,250012,90.36,60
704,Australia,Baz Luhrmann,2008,165,6.6,106115,49.55,53
705,Faster,George Tillman Jr.,2010,98,6.5,83788,23.23,44
706,The Neighbor,Marcus Dunstan,2016,87,5.8,4754,,60
707,The Adjustment Bureau,George Nolfi,2011,106,7.1,208632,62.45,
708,The Hollars,John Krasinski,2016,88,6.5,5908,1.02,53
709,The Judge,David Dobkin,2014,141,7.4,146812,47.11,48
710,Closed Circuit,John Crowley,2013,96,6.2,18437,5.73,50
711,Transformers: Revenge of the Fallen,Michael Bay,2009,150,6,335757,402.08,35
712,La tortue rouge,Michael Dudok de Wit,2016,80,7.6,11482,0.92,86
713,The Book of Life,Jorge R. Gutiérrez,2014,95,7.3,50388,50.15,67
714,Incendies,Denis Villeneuve,2010,131,8.2,92863,6.86,80
715,The Heartbreak Kid,Bobby Farrelly,2007,116,5.8,74664,36.77,46
716,Happy Feet,George Miller,2006,108,6.5,141141,197.99,77
717,Entourage,Doug Ellin,2015,104,6.6,64557,32.36,38
718,The Strangers,Bryan Bertino,2008,86,6.2,96718,52.53,47
719,Noah,Darren Aronofsky,2014,138,5.8,209700,101.16,68
720,Neighbors,Nicholas Stoller,2014,97,6.4,236500,150.06,68
721,Nymphomaniac: Vol. II,Lars von Trier,2013,123,6.7,65824,0.33,60
722,Wild,Jean-Marc Vallée,2014,115,7.1,95553,37.88,76
723,Grown Ups,Dennis Dugan,2010,102,6,190385,162,30
724,Blair Witch,Adam Wingard,2016,89,5.1,26088,20.75,47
725,The Karate Kid,Harald Zwart,2010,140,6.2,127983,176.59,61
726,Dark Shadows,Tim Burton,2012,113,6.2,209326,79.71,55
727,Friends with Benefits,Will Gluck,2011,109,6.6,286543,55.8,63
728,The Illusionist,Neil Burger,2006,110,7.6,309934,39.83,68
729,The A-Team,Joe Carnahan,2010,117,6.8,219116,77.21,47
730,The Guest,Adam Wingard,2014,100,6.7,71069,0.32,76
731,The Internship,Shawn Levy,2013,119,6.3,166342,44.67,42
732,Paul,Greg Mottola,2011,104,7,201707,37.37,57
733,This Beautiful Fantastic,Simon Aboud,2016,100,6.9,688,,51
734,The Da Vinci Code,Ron Howard,2006,149,6.6,338280,217.54,46
735,Mr. Church,Bruce Beresford,2016,104,7.7,16163,0.69,37
736,Hugo,Martin Scorsese,2011,126,7.5,259182,73.82,83
737,The Blackcoat's Daughter,Oz Perkins,2015,93,5.6,4155,0.02,68
738,Body of Lies,Ridley Scott,2008,128,7.1,182305,39.38,57
739,Knight of Cups,Terrence Malick,2015,118,5.7,17439,0.56,53
740,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,2008,112,5.2,124554,102.18,31
741,The Boss,Ben Falcone,2016,99,5.4,29642,63.03,40
742,Hands of Stone,Jonathan Jakubowicz,2016,111,6.6,8998,4.71,54
743,El secreto de sus ojos,Juan José Campanella,2009,129,8.2,144524,20.17,80
744,True Grit,Ethan Coen,2010,110,7.6,254904,171.03,80
745,We Are Your Friends,Max Joseph,2015,96,6.2,25903,3.59,46
746,A Million Ways to Die in the West,Seth MacFarlane,2014,116,6.1,144779,42.62,44
747,Only for One Night,Chris Stokes,2016,86,4.6,313,,60
748,Rules Don't Apply,Warren Beatty,2016,127,5.7,3731,3.65,
749,Ouija: Origin of Evil,Mike Flanagan,2016,99,6.1,30035,34.9,65
750,Percy Jackson: Sea of Monsters,Thor Freudenthal,2013,106,5.9,91684,68.56,39
751,Fracture,Gregory Hoblit,2007,113,7.2,148943,39,68
752,Oculus,Mike Flanagan,2013,104,6.5,92875,27.69,61
753,In Bruges,Martin McDonagh,2008,107,7.9,322536,7.76,67
754,This Means War,McG,2012,103,6.3,154400,54.76,31
755,Lída Baarová,Filip Renc,2016,106,5,353,,64
756,The Road,John Hillcoat,2009,111,7.3,187302,0.06,
757,Lavender,Ed Gass-Donnelly,2016,92,5.2,2083,,46
758,Deuces,Jamal Hill,2016,87,6.6,256,,36
759,Conan the Barbarian,Marcus Nispel,2011,113,5.2,84893,21.27,
760,The Fighter,David O. Russell,2010,116,7.8,290056,93.57,79
761,August Rush,Kirsten Sheridan,2007,114,7.5,91229,31.66,38
762,Chef,Jon Favreau,2014,114,7.3,151970,31.24,68
763,Eye in the Sky,Gavin Hood,2015,102,7.3,57826,18.7,73
764,Eagle Eye,D.J. Caruso,2008,118,6.6,156158,101.11,43
765,The Purge,James DeMonaco,2013,85,5.7,154588,64.42,41
766,PK,Rajkumar Hirani,2014,153,8.2,103279,10.57,51
767,Ender's Game,Gavin Hood,2013,114,6.7,194236,61.66,
768,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,2008,122,6.2,351361,317.01,65
769,Paper Towns,Jake Schreier,2015,109,6.3,72515,31.99,56
770,High-Rise,Ben Wheatley,2015,119,5.7,25928,0.34,65
771,Quantum of Solace,Marc Forster,2008,106,6.6,347798,168.37,58
772,The Assignment,Walter Hill,2016,95,4.5,2043,,34
773,How to Train Your Dragon,Dean DeBlois,2010,98,8.1,523893,217.39,74
774,Lady in the Water,M. Night Shyamalan,2006,110,5.6,82701,42.27,36
775,The Fountain,Darren Aronofsky,2006,96,7.3,199193,10.14,51
776,Cars 2,John Lasseter,2011,106,6.2,110490,191.45,57
777,31,Rob Zombie,2016,102,5.1,10871,0.78,35
778,Final Girl,Tyler Shields,2015,90,4.7,9026,,56
779,Chalk It Up,Hisonni Johnson,2016,90,4.8,499,,
780,The Man Who Knew Infinity,Matt Brown,2015,108,7.2,29912,3.86,
781,Unknown,Jaume Collet-Serra,2011,113,6.9,218679,61.09,56
782,Self/less,Tarsem Singh,2015,117,6.5,67196,12.28,34
783,Mr. Brooks,Bruce A. Evans,2007,120,7.3,128146,28.48,45
784,Tramps,Adam Leon,2016,82,6.5,1031,,77
785,Before We Go,Chris Evans,2014,95,6.9,31370,0.04,31
786,Captain Phillips,Paul Greengrass,2013,134,7.8,346154,107.1,83
787,The Secret Scripture,Jim Sheridan,2016,108,6.8,378,,37
788,Max Steel,Stewart Hendler,2016,92,4.6,11555,3.77,22
789,Hotel Transylvania 2,Genndy Tartakovsky,2015,89,6.7,69157,169.69,44
790,Hancock,Peter Berg,2008,92,6.4,366138,227.95,49
791,Sisters,Jason Moore,2015,118,6,50241,87.03,58
792,The Family,Luc Besson,2013,111,6.3,92868,36.92,42
793,Zack and Miri Make a Porno,Kevin Smith,2008,101,6.6,154936,31.45,56
794,Ma vie de Courgette,Claude Barras,2016,66,7.8,4370,0.29,85
795,Man on a Ledge,Asger Leth,2012,102,6.6,129252,18.6,40
796,No Strings Attached,Ivan Reitman,2011,108,6.2,178243,70.63,50
797,Rescue Dawn,Werner Herzog,2006,120,7.3,87887,5.48,77
798,Despicable Me 2,Pierre Coffin,2013,98,7.4,304837,368.05,62
799,A Walk Among the Tombstones,Scott Frank,2014,114,6.5,93883,25.98,57
800,The World's End,Edgar Wright,2013,109,7,199813,26,81
801,Yoga Hosers,Kevin Smith,2016,88,4.3,7091,,23
802,Seven Psychopaths,Martin McDonagh,2012,110,7.2,196652,14.99,66
803,Beowulf,Robert Zemeckis,2007,115,6.2,146566,82.16,59
804,Jack Ryan: Shadow Recruit,Kenneth Branagh,2014,105,6.2,103681,50.55,57
805,1408,Mikael Håfström,2007,104,6.8,221073,71.98,64
806,The Gambler,Rupert Wyatt,2014,111,6,52537,33.63,55
807,Prince of Persia: The Sands of Time,Mike Newell,2010,116,6.6,233148,90.76,50
808,The Spectacular Now,James Ponsoldt,2013,95,7.1,115751,6.85,82
809,A United Kingdom,Amma Asante,2016,111,6.8,4771,3.9,65
810,USS Indianapolis: Men of Courage,Mario Van Peebles,2016,128,5.2,4964,,30
811,Turbo Kid,François Simard,2015,93,6.7,19309,0.05,60
812,Mama,Andrés Muschietti,2013,100,6.2,142560,71.59,57
813,Orphan,Jaume Collet-Serra,2009,123,7,153448,41.57,42
814,To Rome with Love,Woody Allen,2012,112,6.3,72050,16.68,54
815,Fantastic Mr. Fox,Wes Anderson,2009,87,7.8,149779,21,83
816,Inside Man,Spike Lee,2006,129,7.6,285441,88.5,76
817,I.T.,John Moore,2016,95,5.4,8755,,27
818,127 Hours,Danny Boyle,2010,94,7.6,294010,18.33,82
819,Annabelle,John R. Leonetti,2014,99,5.4,91106,84.26,37
820,Wolves at the Door,John R. Leonetti,2016,73,4.6,564,,63
821,Suite Française,Saul Dibb,2014,107,6.9,13711,,
822,The Imaginarium of Doctor Parnassus,Terry Gilliam,2009,123,6.8,130153,7.69,65
823,G.I. Joe: The Rise of Cobra,Stephen Sommers,2009,118,5.8,180105,150.17,32
824,Christine,Antonio Campos,2016,119,7,5855,0.3,72
825,Man Down,Dito Montiel,2015,90,5.8,4779,,27
826,Crawlspace,Phil Claydon,2016,88,5.3,1427,,25
827,Shut In,Farren Blackburn,2016,91,4.6,5715,6.88,
828,The Warriors Gate,Matthias Hoene,2016,108,5.3,1391,,77
829,Grindhouse,Robert Rodriguez,2007,191,7.6,160350,25.03,
830,Disaster Movie,Jason Friedberg,2008,87,1.9,77207,14.17,15
831,Rocky Balboa,Sylvester Stallone,2006,102,7.2,171356,70.27,63
832,Diary of a Wimpy Kid: Dog Days,David Bowers,2012,94,6.4,16917,49,54
833,Jane Eyre,Cary Joji Fukunaga,2011,120,7.4,67464,11.23,76
834,Fool's Gold,Andy Tennant,2008,112,5.7,62719,70.22,29
835,The Dictator,Larry Charles,2012,83,6.4,225394,59.62,58
836,The Loft,Erik Van Looy,2014,108,6.3,38804,5.98,24
837,Bacalaureat,Cristian Mungiu,2016,128,7.5,5531,0.13,84
838,You Don't Mess with the Zohan,Dennis Dugan,2008,113,5.5,163144,100.02,54
839,Exposed,Gee Malik Linton,2016,102,4.2,8409,,23
840,Maudie,Aisling Walsh,2016,115,7.8,346,,60
841,Horrible Bosses 2,Sean Anders,2014,108,6.3,125190,54.41,40
842,A Bigger Splash,Luca Guadagnino,2015,125,6.4,15232,1.98,74
843,Melancholia,Lars von Trier,2011,135,7.1,137117,3.03,80
844,The Princess and the Frog,Ron Clements,2009,97,7.1,95480,104.37,73
845,Unstoppable,Tony Scott,2010,98,6.8,157499,81.56,69
846,Flight,Robert Zemeckis,2012,138,7.3,276347,93.75,76
847,Home,Tim Johnson,2015,94,6.7,77447,177.34,55
848,La migliore offerta,Giuseppe Tornatore,2013,131,7.8,77986,0.09,49
849,Mean Dreams,Nathan Morlando,2016,108,6.3,1066,,64
850,42,Brian Helgeland,2013,128,7.5,69659,95,62
851,21,Robert Luketic,2008,123,6.8,198395,81.16,48
852,Begin Again,John Carney,2013,104,7.4,111875,16.17,62
853,Out of the Furnace,Scott Cooper,2013,116,6.8,88829,11.33,63
854,Vicky Cristina Barcelona,Woody Allen,2008,96,7.1,208770,23.21,70
855,Kung Fu Panda,Mark Osborne,2008,92,7.6,329788,215.4,73
856,Barbershop: The Next Cut,Malcolm D. Lee,2016,111,5.9,9993,54.01,67
857,Terminator Salvation,McG,2009,115,6.6,297093,125.32,49
858,Freedom Writers,Richard LaGravenese,2007,123,7.5,55648,36.58,64
859,The Hills Have Eyes,Alexandre Aja,2006,107,6.4,136642,41.78,52
860,Changeling,Clint Eastwood,2008,141,7.8,206793,35.71,63
861,Remember Me,Allen Coulter,2010,113,7.2,119376,19.06,40
862,Koe no katachi,Naoko Yamada,2016,129,8.4,2421,,80
863,Alexander and the Terrible Horrible No Good Very Bad Day,Miguel Arteta,2014,81,6.2,32310,66.95,54
864,Locke,Steven Knight,2013,85,7.1,100890,1.36,81
865,The 9th Life of Louis Drax,Alexandre Aja,2016,108,6.3,6175,,41
866,Horns,Alexandre Aja,2013,120,6.5,61060,0.16,46
867,Indignation,James Schamus,2016,110,6.9,7402,3.4,78
868,The Stanford Prison Experiment,Kyle Patrick Alvarez,2015,122,6.9,20907,0.64,67
869,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,2011,99,6.6,20194,52.69,51
870,Mission: Impossible III,J.J. Abrams,2006,126,6.9,270429,133.38,66
871,En man som heter Ove,Hannes Holm,2015,116,7.7,21569,3.36,70
872,Dragonball Evolution,James Wong,2009,85,2.7,59512,9.35,45
873,Red Dawn,Dan Bradley,2012,93,5.4,64584,44.8,31
874,One Day,Lone Scherfig,2011,107,7,113599,13.77,48
875,Life as We Know It,Greg Berlanti,2010,114,6.6,101301,53.36,39
876,28 Weeks Later,Juan Carlos Fresnadillo,2007,100,7,221858,28.64,78
877,Warm Bodies,Jonathan Levine,2013,98,6.9,193579,66.36,59
878,Blue Jasmine,Woody Allen,2013,98,7.3,160592,33.4,78
879,G.I. Joe: Retaliation,Jon M. Chu,2013,110,5.8,152145,122.51,41
880,Wrath of the Titans,Jonathan Liebesman,2012,99,5.8,159230,83.64,37
881,Shin Gojira,Hideaki Anno,2016,120,6.9,8365,1.91,68
882,Saving Mr. Banks,John Lee Hancock,2013,125,7.5,125693,83.3,65
883,Transcendence,Wally Pfister,2014,119,6.3,184564,23.01,42
884,Rio,Carlos Saldanha,2011,96,6.9,173919,143.62,63
885,Equals,Drake Doremus,2015,101,6.1,16361,0.03,43
886,Babel,Alejandro González Iñárritu,2006,143,7.5,253417,34.3,69
887,The Tree of Life,Terrence Malick,2011,139,6.8,143517,13.3,85
888,The Lucky One,Scott Hicks,2012,101,6.5,82874,60.44,39
889,Piranha 3D,Alexandre Aja,2010,88,5.5,75262,25,53
890,50/50,Jonathan Levine,2011,100,7.7,281625,34.96,72
891,The Intent,Femi Oyeniran,2016,104,3.5,202,,59
892,This Is 40,Judd Apatow,2012,134,6.2,108156,67.52,
893,Real Steel,Shawn Levy,2011,127,7.1,264480,85.46,56
894,Sex and the City,Michael Patrick King,2008,145,5.5,102547,152.64,53
895,Rambo,Sylvester Stallone,2008,92,7.1,187077,42.72,46
896,Planet Terror,Robert Rodriguez,2007,105,7.1,174553,,55
897,Concussion,Peter Landesman,2015,123,7.1,61274,34.53,
898,The Fall,Tarsem Singh,2006,117,7.9,93036,2.28,64
899,The Ugly Truth,Robert Luketic,2009,96,6.5,172558,88.92,28
900,Bride Wars,Gary Winick,2009,89,5.5,83976,58.72,24
901,Sleeping with Other People,Leslye Headland,2015,101,6.5,27730,0.81,64
902,Snakes on a Plane,David R. Ellis,2006,105,5.6,118905,34.01,58
903,What If,Michael Dowse,2013,98,6.8,55243,3.45,59
904,How to Train Your Dragon 2,Dean DeBlois,2014,102,7.9,237565,177,76
905,RoboCop,José Padilha,2014,117,6.2,190833,58.61,52
906,In Dubious Battle,James Franco,2016,110,6.2,1455,,43
907,Hello My Name Is Doris,Michael Showalter,2015,95,6.7,12361,14.44,63
908,Ocean's Thirteen,Steven Soderbergh,2007,122,6.9,269581,117.14,62
909,Slither,James Gunn,2006,95,6.5,64351,7.77,69
910,Contagion,Steven Soderbergh,2011,106,6.6,187004,75.64,70
911,Il racconto dei racconti - Tale of Tales,Matteo Garrone,2015,133,6.4,17565,0.08,72
912,I Am the Pretty Thing That Lives in the House,Oz Perkins,2016,87,4.7,4204,,68
913,Bridge to Terabithia,Gabor Csupo,2007,96,7.2,117297,82.23,74
914,Coherence,James Ward Byrkit,2013,89,7.2,66265,0.07,65
915,Notorious,George Tillman Jr.,2009,122,6.7,33007,36.84,60
916,Goksung,Hong-jin Na,2016,156,7.5,17962,0.79,81
917,The Expendables 2,Simon West,2012,103,6.6,257395,85.02,51
918,The Girl Next Door,Gregory Wilson,2007,91,6.7,19351,,29
919,Perfume: The Story of a Murderer,Tom Tykwer,2006,147,7.5,199387,2.21,56
920,The Golden Compass,Chris Weitz,2007,113,6.1,155078,70.08,51
921,Centurion,Neil Marshall,2010,97,6.4,67801,0.12,62
922,Scouts Guide to the Zombie Apocalypse,Christopher Landon,2015,93,6.3,31651,3.64,32
923,17 Again,Burr Steers,2009,102,6.4,152808,64.15,48
924,No Escape,John Erick Dowdle,2015,103,6.8,57921,27.29,38
925,Superman Returns,Bryan Singer,2006,154,6.1,246797,200.07,72
926,The Twilight Saga: Breaking Dawn - Part 1,Bill Condon,2011,117,4.9,190244,281.28,45
927,Precious,Lee Daniels,2009,110,7.3,91623,47.54,79
928,The Sea of Trees,Gus Van Sant,2015,110,5.9,7475,0.02,23
929,Good Kids,Chris McCoy,2016,86,6.1,3843,,86
930,The Master,Paul Thomas Anderson,2012,144,7.1,112902,16.38,
931,Footloose,Craig Brewer,2011,113,5.9,39380,51.78,58
932,If I Stay,R.J. Cutler,2014,107,6.8,92170,50.46,46
933,The Ticket,Ido Fluk,2016,97,5.4,924,,52
934,Detour,Christopher Smith,2016,97,6.3,2205,,46
935,The Love Witch,Anna Biller,2016,120,6.2,4669,0.22,82
936,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,2006,108,6.6,137502,148.21,66
937,The Human Centipede (First Sequence),Tom Six,2009,92,4.4,60655,0.18,33
938,Super,James Gunn,2010,96,6.8,64535,0.32,50
939,The Siege of Jadotville,Richie Smyth,2016,108,7.3,14689,,83
940,Up in the Air,Jason Reitman,2009,109,7.4,279694,83.81,
941,The Midnight Meat Train,Ryûhei Kitamura,2008,98,6.1,50255,0.07,58
942,The Twilight Saga: Eclipse,David Slade,2010,124,4.9,192740,300.52,58
943,Transpecos,Greg Kwedar,2016,86,5.8,1292,,73
944,What's Your Number?,Mark Mylod,2011,106,6.1,62095,13.99,35
945,Riddick,David Twohy,2013,119,6.4,132098,42,49
946,Triangle,Christopher Smith,2009,99,6.9,72533,,66
947,The Butler,Lee Daniels,2013,132,7.2,93322,116.63,
948,King Cobra,Justin Kelly,2016,91,5.6,3990,0.03,48
949,After Earth,M. Night Shyamalan,2013,100,4.9,166512,60.52,33
950,Kicks,Justin Tipping,2016,80,6.1,2417,0.15,69
951,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,2015,105,7.8,92076,6.74,74
952,The Descendants,Alexander Payne,2011,115,7.3,211348,82.62,84
953,Sex and the City 2,Michael Patrick King,2010,146,4.3,62403,95.33,27
954,The Kings of Summer,Jordan Vogt-Roberts,2013,95,7.2,65653,1.29,61
955,Death Race,Paul W.S. Anderson,2008,105,6.4,173731,36.06,43
956,That Awkward Moment,Tom Gormican,2014,94,6.2,81823,26.05,36
957,Legion,Scott Stewart,2010,100,5.2,84158,40.17,32
958,End of Watch,David Ayer,2012,109,7.7,192190,40.98,68
959,3 Days to Kill,McG,2014,117,6.2,73567,30.69,40
960,Lucky Number Slevin,Paul McGuigan,2006,110,7.8,271940,22.49,53
961,Trance,Danny Boyle,2013,101,7,97141,2.32,61
962,Into the Forest,Patricia Rozema,2015,101,5.9,10220,0.01,59
963,The Other Boleyn Girl,Justin Chadwick,2008,115,6.7,88260,26.81,50
964,I Spit on Your Grave,Steven R. Monroe,2010,108,6.3,60133,0.09,27
965,Custody,James Lapine,2016,104,6.9,280,,72
966,Inland Empire,David Lynch,2006,180,7,44227,,
967,L'odyssée,Jérôme Salle,2016,122,6.7,1810,,70
968,The Walk,Robert Zemeckis,2015,123,7.3,92378,10.14,
969,Wrecker,Micheal Bafaro,2015,83,3.5,1210,,37
970,The Lone Ranger,Gore Verbinski,2013,150,6.5,190855,89.29,
971,Texas Chainsaw 3D,John Luessenhop,2013,92,4.8,37060,34.33,62
972,Disturbia,D.J. Caruso,2007,105,6.9,193491,80.05,
973,Rock of Ages,Adam Shankman,2012,123,5.9,64513,38.51,47
974,Scream 4,Wes Craven,2011,111,6.2,108544,38.18,52
975,Queen of Katwe,Mira Nair,2016,124,7.4,6753,8.81,73
976,My Big Fat Greek Wedding 2,Kirk Jones,2016,94,6,20966,59.57,37
977,Dark Places,Gilles Paquet-Brenner,2015,113,6.2,31634,,39
978,Amateur Night,Lisa Addario,2016,92,5,2229,,38
979,It's Only the End of the World,Xavier Dolan,2016,97,7,10658,,48
980,The Skin I Live In,Pedro Almodóvar,2011,120,7.6,108772,3.19,70
981,Miracles from Heaven,Patricia Riggen,2016,109,7,12048,61.69,44
982,Annie,Will Gluck,2014,118,5.3,27312,85.91,33
983,Across the Universe,Julie Taymor,2007,133,7.4,95172,24.34,56
984,Let's Be Cops,Luke Greenfield,2014,104,6.5,112729,82.39,30
985,Max,Boaz Yakin,2015,111,6.8,21405,42.65,47
986,Your Highness,David Gordon Green,2011,102,5.6,87904,21.56,31
987,Final Destination 5,Steven Quale,2011,92,5.9,88000,42.58,50
988,Endless Love,Shana Feste,2014,104,6.3,33688,23.39,30
989,Martyrs,Pascal Laugier,2008,99,7.1,63785,,89
990,Selma,Ava DuVernay,2014,128,7.5,67637,52.07,
991,Underworld: Rise of the Lycans,Patrick Tatopoulos,2009,92,6.6,129708,45.8,44
992,Taare Zameen Par,Aamir Khan,2007,165,8.5,102697,1.2,42
993,Take Me Home Tonight,Michael Dowse,2011,97,6.3,45419,6.92,
994,Resident Evil: Afterlife,Paul W.S. Anderson,2010,97,5.9,140900,60.13,37
995,Project X,Nima Nourizadeh,2012,88,6.7,164088,54.72,48
996,Secret in Their Eyes,Billy Ray,2015,111,6.2,27585,,45
997,Hostel: Part II,Eli Roth,2007,94,5.5,73152,17.54,46
998,Step Up 2: The Streets,Jon M. Chu,2008,98,6.2,70699,58.01,50
999,Search Party,Scot Armstrong,2014,93,5.6,4881,,22
1000,Nine Lives,Barry Sonnenfeld,2016,87,5.3,12435,19.64,11